sepal.length,sepal.width,petal.length,petal.width,variety
4.8610622332108155,2.9822666838242213,6.647808455433765,1.7748038094828622,virginica
5.0,3.5,1.3,0.3,setosa
6.5,2.8,4.6,1.5,versicolor
5.1,3.3,1.7,0.5,setosa
6.7,2.5,5.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
4.78070379664672,3.291638584357133,4.522902476862098,1.6513515253634308,virginica
5.389917535370573,2.653864011268464,4.721617950992952,0.45813680292750936,versicolor
7.461659425327456,2.561002512131912,2.4845341130242686,1.6669130645376529,setosa
6.3,2.3,4.4,1.3,versicolor
5.8,2.7,5.1,1.9,virginica
6.7,3.0,5.2,2.3,virginica
5.932102239823561,3.8073884303562773,1.1736372339918386,0.19259533677717844,versicolor
5.6,2.8,4.9,2.0,virginica
6.032656576437972,3.1724291582716093,5.963404903175034,1.0133893875774138,versicolor
6.1,2.8,4.7,1.2,versicolor
5.8,2.6,4.0,1.2,versicolor
5.8,2.8,5.1,2.4,virginica
7.708659903726433,2.136584501462678,3.7662673202147645,0.14789144645878247,virginica
5.7,2.5,5.0,2.0,virginica
7.853361009193289,3.067519863754251,1.7032336834607866,2.0138370492185116,setosa
6.312768221052439,3.8227202716932513,1.882562752499803,2.3987803835525114,setosa
6.3,2.7,4.9,1.8,virginica
5.0,2.0,3.5,1.0,versicolor
5.8002478271374995,3.1661384453605423,4.918906581100438,1.8085837196060213,virginica
5.9,3.0,5.1,1.8,virginica
4.6571637784164,3.196813422066807,3.7544323710911307,2.084992225071614,virginica
6.3,2.5,5.0,1.9,virginica
4.67507924583868,3.773611799552341,5.821233454193633,1.3920429682228495,setosa
6.738420917705707,2.0820299053225404,1.702483993369916,0.42468737474479856,setosa
7.5840103512308685,3.276769176117112,2.4315917732977814,0.4239905818002765,setosa
5.399938199979601,2.6779446290659004,4.8530782757634086,0.6244615819871854,setosa
5.7,2.6,3.5,1.0,versicolor
6.582178889980755,2.969047922103715,4.739216362821988,0.5040968651792281,virginica
4.457494152755303,2.76531466850164,4.791225956726835,2.3926333805739253,versicolor
6.84658606163363,3.0418927667135325,1.9901601656427108,1.9774081871631202,setosa
6.7,3.1,4.7,1.5,versicolor
7.160843597782467,2.1352235833889526,5.035412880801098,1.4341440442570519,virginica
6.585679823882432,2.013063763198984,4.924696462116449,1.0744022204808115,virginica
5.851199887513851,2.660117022282673,1.344212724535135,1.8396266077628767,virginica
6.8,3.2,5.9,2.3,virginica
6.2,2.2,4.5,1.5,versicolor
5.691507652101295,3.508873337255768,4.296890192993709,0.32453579197000104,versicolor
5.230648487542743,2.6037167190513326,2.918860130843977,0.4524616610871275,setosa
6.111947860724224,2.3127365170337146,1.534784236525747,0.7663414415416159,versicolor
5.866407876179645,3.6490030753789604,1.7750917533014625,2.3254345830478345,setosa
4.8,3.4,1.6,0.2,setosa
5.3,3.7,1.5,0.2,setosa
6.7,3.1,4.4,1.4,versicolor
7.9,3.8,6.4,2.0,virginica
7.2,3.6,6.1,2.5,virginica
5.864332980548092,3.032350243293985,6.330385875326757,1.3834118556405033,versicolor
5.4,3.9,1.3,0.4,setosa
7.760411571631636,2.3012818542021827,1.7680046482622755,0.7005735782927639,versicolor
4.589915111124064,2.0379084262782894,1.6608809763020074,0.9889665340781848,versicolor
4.960247949253825,2.3233955816025307,2.7692021932554978,2.4113886980892536,virginica
5.498766123099696,3.744514675627679,5.432542154905354,2.453579087590029,setosa
6.409767536918855,2.064082521518056,6.689279329198662,1.7580826874938233,setosa
4.6,3.4,1.4,0.3,setosa
5.193573937132703,2.9001987190929963,6.108097744329303,0.9461562972814107,virginica
5.1,2.5,3.0,1.1,versicolor
4.7,3.2,1.3,0.2,setosa
6.8,2.8,4.8,1.4,versicolor
5.73363833641389,2.0144351635165183,2.7335924035162353,0.13565989283050345,setosa
7.566782380642793,2.8338177775436835,2.8857193328279624,0.9215077828502152,versicolor
6.516267814543504,2.290504226415112,2.9365412630947105,2.409622767421616,setosa
5.8,2.7,3.9,1.2,versicolor
6.5563570274377705,2.7221234412930633,2.7094844583967355,1.4395182137909905,virginica
6.9,3.2,5.7,2.3,virginica
4.9,3.1,1.5,0.1,setosa
5.34253973250336,3.5251642880257608,3.551366558936736,0.35799917784708235,versicolor
7.631854941650426,2.0793755392122306,5.057817012708191,0.1738882412950044,virginica
7.644120690059718,3.8998338686193814,4.302887165234433,1.2643066123816684,versicolor
6.1,2.8,4.0,1.3,versicolor
5.2,3.5,1.5,0.2,setosa
4.6,3.1,1.5,0.2,setosa
5.1,3.8,1.9,0.4,setosa
4.521146702897687,3.08732228459702,6.170521853807147,0.11168260140188169,setosa
5.4,3.4,1.5,0.4,setosa
6.851344694410543,2.3463375024308,5.999899024428661,1.276719674421803,setosa
5.0,3.2,1.2,0.2,setosa
7.1,3.0,5.9,2.1,virginica
6.4250290794599,2.7306096726191718,2.8280297730493036,2.410993722178009,versicolor
6.2,2.8,4.8,1.8,virginica
6.4,2.9,4.3,1.3,versicolor
6.923018146749697,3.7255869703799434,5.6029680457304245,0.3963246399145125,versicolor
5.867977139758613,2.145869080766299,5.98008570883559,1.202709806529215,versicolor
7.672535159806749,3.3400095008395576,4.576282171627993,0.3914298102348802,virginica
4.9,3.1,1.5,0.1,setosa
5.6,3.0,4.1,1.3,versicolor
