sepal.length,sepal.width,petal.length,petal.width,variety
6.7,3.3,5.7,2.1,virginica
5.0,3.5,1.3,0.3,setosa
4.544902637023845,2.940662448303063,1.3040629898032834,1.9165531388424542,versicolor
4.745785514891016,3.1634402320253523,2.556837308235991,1.7768301199918313,setosa
6.7,2.5,5.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
7.7,3.8,6.7,2.2,virginica
6.0,2.2,4.0,1.0,versicolor
5.1,3.8,1.6,0.2,setosa
6.3,2.3,4.4,1.3,versicolor
5.8,2.7,5.1,1.9,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,4.9,1.5,versicolor
5.6,2.8,4.9,2.0,virginica
5.7,2.9,4.2,1.3,versicolor
6.1,2.8,4.7,1.2,versicolor
5.8,2.6,4.0,1.2,versicolor
5.8,2.8,5.1,2.4,virginica
4.9,2.5,4.5,1.7,virginica
5.7,2.5,5.0,2.0,virginica
4.7,3.2,1.6,0.2,setosa
4.8,3.0,1.4,0.1,setosa
6.3,2.7,4.9,1.8,virginica
5.0,2.0,3.5,1.0,versicolor
7.7,3.0,6.1,2.3,virginica
5.9,3.0,5.1,1.8,virginica
6.4,2.8,5.6,2.1,virginica
6.3,2.5,5.0,1.9,virginica
4.807586773258145,2.9643821681289038,3.003814350033011,1.252101008300694,setosa
5.1,3.7,1.5,0.4,setosa
5.0,3.0,1.6,0.2,setosa
6.270743538108089,3.7603681923005765,3.9888931304652964,2.0547285327427636,setosa
5.7,2.6,3.5,1.0,versicolor
6.3,2.8,5.1,1.5,virginica
5.2,2.7,3.9,1.4,versicolor
5.0,3.5,1.6,0.6,setosa
6.7,3.1,4.7,1.5,versicolor
6.5,3.2,5.1,2.0,virginica
7.6,3.0,6.6,2.1,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.2,5.9,2.3,virginica
6.2,2.2,4.5,1.5,versicolor
5.6,2.9,3.6,1.3,versicolor
5.5,3.5,1.3,0.2,setosa
6.0,2.7,5.1,1.6,versicolor
5.0,3.6,1.4,0.2,setosa
4.8,3.4,1.6,0.2,setosa
5.615637045343679,2.8267435514703356,5.368426606763979,1.0398662573364341,setosa
6.7,3.1,4.4,1.4,versicolor
7.9,3.8,6.4,2.0,virginica
7.2,3.6,6.1,2.5,virginica
7.0,3.2,4.7,1.4,versicolor
5.4,3.9,1.3,0.4,setosa
5.6,2.7,4.2,1.3,versicolor
5.6,3.0,4.5,1.5,versicolor
7.7,2.6,6.9,2.3,virginica
4.5,2.3,1.3,0.3,setosa
4.9,3.1,1.5,0.1,setosa
5.763024727916301,2.1539823087187693,1.1624564005859361,2.0801471176856654,setosa
6.8,3.0,5.5,2.1,virginica
5.1,2.5,3.0,1.1,versicolor
4.7,3.2,1.3,0.2,setosa
6.63746563344763,2.435511061774294,5.23602611986685,1.3266613625768107,versicolor
4.9,3.0,1.4,0.2,setosa
5.5,2.3,4.0,1.3,versicolor
5.1,3.8,1.5,0.3,setosa
5.8,2.7,3.9,1.2,versicolor
6.3,3.4,5.6,2.4,virginica
6.9,3.2,5.7,2.3,virginica
4.9,3.1,1.5,0.1,setosa
5.7,3.0,4.2,1.2,versicolor
7.2,3.2,6.0,1.8,virginica
5.7,2.8,4.5,1.3,versicolor
6.1,2.8,4.0,1.3,versicolor
5.2,3.5,1.5,0.2,setosa
4.6,3.1,1.5,0.2,setosa
5.1,3.8,1.9,0.4,setosa
4.3,3.0,1.1,0.1,setosa
5.4,3.4,1.5,0.4,setosa
5.1,3.5,1.4,0.2,setosa
6.498158857586651,2.0330984272134534,6.013466762677664,1.5658796253201064,setosa
7.1,3.0,5.9,2.1,virginica
6.2,2.9,4.3,1.3,versicolor
6.784614026086227,2.6500792983519874,5.5457381576204625,1.8575989922591785,virginica
6.4,2.9,4.3,1.3,versicolor
5.8,2.7,4.1,1.0,versicolor
6.1,3.0,4.6,1.4,versicolor
6.3,2.9,5.6,1.8,virginica
4.9,3.1,1.5,0.1,setosa
5.6,3.0,4.1,1.3,versicolor
